ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Краткое описание",Описание,"Дата начала действия продажной цены","Дата окончания действия продажной цены","Статус налога","Налоговый класс","В наличии?",Запасы,"Величина малых запасов","Возможен ли предзаказ?","Продано индивидуально?","Вес (kg)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Цена распродажи","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Число дней до просроченной загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Имя атрибута 1","Значение(-я) аттрибута(-ов) 1","Видимость атрибута 1","Глобальный атрибут 1","Имя атрибута 2","Значение(-я) аттрибута(-ов) 2","Видимость атрибута 2","Глобальный атрибут 2"
234,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN TOUAREG 2010 - 2018",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Touareg,,,,,,,,,,,,0,,,,,,,,
235,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN TOUAREG 2018- Н.В",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Touareg,,,,,,,,,,,,0,,,,,,,,
236,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN TOURAN 7 МЕСТ 2015 - 2020",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Touran,,,,,,,,,,,,0,,,,,,,,
237,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN TOURAN 2003 - 2010",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Touran,,,,,,,,,,,,0,,,,,,,,
238,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN TOURAN 2010 - 2015",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Touran,,,,,,,,,,,,0,,,,,,,,
239,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN TOURAN 5 МЕСТ 2015 - 2020",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Touran,,,,,,,,,,,,0,,,,,,,,
240,simple,,"КОВРИКИ В САЛОН VW TRANSPORTER/CARAVELLE/MULTIVAN (T5/Т6) 2003 - Н.В (ПЕРЕДНИЕ)",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Transporter,,,,,,,,,,,,0,,,,,,,,
291,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,2,"Цвет материала",бежевый,,1,"цвет окантовки",бежевый,,1
292,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,1,"Цвет материала",бежевый,,1,"цвет окантовки",белый,,1
293,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,3,"Цвет материала",бежевый,,1,"цвет окантовки",бордовый,,1
294,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,4,"Цвет материала",бежевый,,1,"цвет окантовки",желтый,,1
295,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,5,"Цвет материала",бежевый,,1,"цвет окантовки",зеленый,,1
296,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,6,"Цвет материала",бежевый,,1,"цвет окантовки",коричневый,,1
297,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,7,"Цвет материала",бежевый,,1,"цвет окантовки",красный,,1
298,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,8,"Цвет материала",бежевый,,1,"цвет окантовки",оранжевый,,1
299,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,9,"Цвет материала",бежевый,,1,"цвет окантовки",светло-серый,,1
300,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,10,"Цвет материала",бежевый,,1,"цвет окантовки",синий,,1
301,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,11,"Цвет материала",бежевый,,1,"цвет окантовки",темно-зеленый,,1
302,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,12,"Цвет материала",бежевый,,1,"цвет окантовки",темно-серый,,1
303,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,13,"Цвет материала",бежевый,,1,"цвет окантовки",темно-синий,,1
304,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,14,"Цвет материала",бежевый,,1,"цвет окантовки",фиолетовый,,1
305,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,15,"Цвет материала",бежевый,,1,"цвет окантовки",черный,,1
306,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,16,"Цвет материала",коричневый,,1,"цвет окантовки",бежевый,,1
307,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,17,"Цвет материала",коричневый,,1,"цвет окантовки",белый,,1
308,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,18,"Цвет материала",коричневый,,1,"цвет окантовки",бордовый,,1
309,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,19,"Цвет материала",коричневый,,1,"цвет окантовки",желтый,,1
310,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,20,"Цвет материала",коричневый,,1,"цвет окантовки",зеленый,,1
311,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,21,"Цвет материала",коричневый,,1,"цвет окантовки",коричневый,,1
312,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,22,"Цвет материала",коричневый,,1,"цвет окантовки",красный,,1
313,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,23,"Цвет материала",коричневый,,1,"цвет окантовки",оранжевый,,1
314,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,24,"Цвет материала",коричневый,,1,"цвет окантовки",светло-серый,,1
315,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,25,"Цвет материала",коричневый,,1,"цвет окантовки",синий,,1
316,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,26,"Цвет материала",коричневый,,1,"цвет окантовки",темно-зеленый,,1
317,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,27,"Цвет материала",коричневый,,1,"цвет окантовки",темно-серый,,1
318,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,28,"Цвет материала",коричневый,,1,"цвет окантовки",темно-синий,,1
319,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,29,"Цвет материала",коричневый,,1,"цвет окантовки",фиолетовый,,1
320,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,30,"Цвет материала",коричневый,,1,"цвет окантовки",черный,,1
321,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,31,"Цвет материала",красный,,1,"цвет окантовки",бежевый,,1
322,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,32,"Цвет материала",красный,,1,"цвет окантовки",белый,,1
323,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,33,"Цвет материала",красный,,1,"цвет окантовки",бордовый,,1
324,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,34,"Цвет материала",красный,,1,"цвет окантовки",желтый,,1
325,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,35,"Цвет материала",красный,,1,"цвет окантовки",зеленый,,1
326,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,36,"Цвет материала",красный,,1,"цвет окантовки",коричневый,,1
327,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,37,"Цвет материала",красный,,1,"цвет окантовки",красный,,1
328,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,38,"Цвет материала",красный,,1,"цвет окантовки",оранжевый,,1
329,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,39,"Цвет материала",красный,,1,"цвет окантовки",светло-серый,,1
330,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,40,"Цвет материала",красный,,1,"цвет окантовки",синий,,1
331,variation,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2500,,,,,,,id:127,,,,,,41,"Цвет материала",красный,,1,"цвет окантовки",темно-зеленый,,1
